ICD9,DESCRIPTION
0011,Cholera due to Vibrio cholerae 01
0019,Cholera
0020,Typhoid fever
0021,Paratyphoid fever A
0022,Paratyphoid fever B
0023,Paratyphoid fever C
0029,Paratyphoid fever
0030,Salmonella enteritis
0031,Salmonella sepsis
00320,Localized salmonella infection
00321,Salmonella meningitis
00322,Salmonella pneumonia
00323,Salmonella arthritis
00324,Salmonella osteomyelitis
00329,Salmonella with other localized infection
0038,Other specified salmonella infections
0039,Salmonella infection
0040,Shigellosis due to Shigella dysenteriae
0041,Shigellosis due to Shigella flexneri
0042,Shigellosis due to Shigella boydii
0043,Shigellosis due to Shigella sonnei
0048,Other shigellosis
0049,Shigellosis
0050,Foodborne staphylococcal intoxication
0051,Botulism food poisoning
0052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
0053,Other specified bacterial foodborne intoxications
0054,Foodborne Vibrio parahaemolyticus intoxication
00581,Foodborne Vibrio vulnificus intoxication
00589,Foodborne Bacillus cereus intoxication
0059,Bacterial foodborne intoxication
0060,Acute amebic dysentery
0061,Chronic intestinal amebiasis
0062,Amebic nondysenteric colitis
0063,Amebic liver abscess
0064,Amebic lung abscess
0065,Amebic brain abscess
0066,Cutaneous amebiasis
0068,Other amebic infections
0069,Amebiasis
0070,Balantidiasis
0071,Giardiasis [lambliasis]
0072,Isosporiasis
0073,Other specified protozoal intestinal diseases
0074,Cryptosporidiosis
0075,Cyclosporiasis
0078,Other specified protozoal intestinal diseases
0079,Protozoal intestinal disease
00800,Other intestinal Escherichia coli infections
00801,Enteropathogenic Escherichia coli infection
00802,Enterotoxigenic Escherichia coli infection
00803,Enteroinvasive Escherichia coli infection
00804,Enterohemorrhagic Escherichia coli infection
00809,Other intestinal Escherichia coli infections
0081,Other specified bacterial intestinal infections
0082,Other specified bacterial intestinal infections
0083,Other specified bacterial intestinal infections
00841,Other specified bacterial intestinal infections
00842,Other specified bacterial intestinal infections
00843,Campylobacter enteritis
00844,Enteritis due to Yersinia enterocolitica
00845,Enterocolitis due to Clostridium difficile
00846,Other specified bacterial intestinal infections
00847,Other specified bacterial intestinal infections
00849,Other specified bacterial intestinal infections
0085,Bacterial intestinal infection
00861,Rotaviral enteritis
00862,Adenoviral enteritis
00863,Acute gastroenteropathy due to Norwalk agent
00864,Acute gastroenteropathy due to other small round viruses
00865,Calicivirus enteritis
00866,Astrovirus enteritis
00867,Other viral enteritis
00869,Other viral enteritis
0088,Other specified intestinal infections
0090,Infectious gastroenteritis and colitis
0091,Infectious gastroenteritis and colitis
0092,Infectious gastroenteritis and colitis
0093,Infectious gastroenteritis and colitis
01000,Primary respiratory tuberculosis
01001,Primary respiratory tuberculosis
01002,Primary respiratory tuberculosis
01003,Primary respiratory tuberculosis
01004,Primary respiratory tuberculosis
01005,Primary respiratory tuberculosis
01006,Primary respiratory tuberculosis
01010,Tuberculous pleurisy
01011,Tuberculous pleurisy
01012,Tuberculous pleurisy
01013,Tuberculous pleurisy
01014,Tuberculous pleurisy
01015,Tuberculous pleurisy
01016,Tuberculous pleurisy
01080,Primary respiratory tuberculosis
01081,Primary respiratory tuberculosis
01082,Primary respiratory tuberculosis
01083,Primary respiratory tuberculosis
01084,Primary respiratory tuberculosis
01085,Primary respiratory tuberculosis
01086,Primary respiratory tuberculosis
01090,Primary respiratory tuberculosis
01091,Primary respiratory tuberculosis
01092,Primary respiratory tuberculosis
01093,Primary respiratory tuberculosis
01094,Primary respiratory tuberculosis
01095,Primary respiratory tuberculosis
01096,Primary respiratory tuberculosis
01100,Tuberculosis of lung
01101,Tuberculosis of lung
01102,Tuberculosis of lung
01103,Tuberculosis of lung
01104,Tuberculosis of lung
01105,Tuberculosis of lung
01106,Tuberculosis of lung
01110,Tuberculosis of lung
01111,Tuberculosis of lung
01112,Tuberculosis of lung
01113,Tuberculosis of lung
01114,Tuberculosis of lung
01115,Tuberculosis of lung
01116,Tuberculosis of lung
01120,Tuberculosis of lung
01121,Tuberculosis of lung
01122,Tuberculosis of lung
01123,Tuberculosis of lung
01124,Tuberculosis of lung
01125,Tuberculosis of lung
01126,Tuberculosis of lung
01130,Tuberculosis of larynx
01131,Tuberculosis of larynx
01132,Tuberculosis of larynx
01133,Tuberculosis of larynx
01134,Tuberculosis of larynx
01135,Tuberculosis of larynx
01136,Tuberculosis of larynx
01140,Tuberculosis of lung
01141,Tuberculosis of lung
01142,Tuberculosis of lung
01143,Tuberculosis of lung
01144,Tuberculosis of lung
01145,Tuberculosis of lung
01146,Tuberculosis of lung
01150,Tuberculosis of lung
01151,Tuberculosis of lung
01152,Tuberculosis of lung
01153,Tuberculosis of lung
01154,Tuberculosis of lung
01155,Tuberculosis of lung
01156,Tuberculosis of lung
01160,Tuberculosis of lung
01161,Tuberculosis of lung
01162,Tuberculosis of lung
01163,Tuberculosis of lung
01164,Tuberculosis of lung
01165,Tuberculosis of lung
01166,Tuberculosis of lung
01170,Tuberculosis of lung
01171,Tuberculosis of lung
01172,Tuberculosis of lung
01173,Tuberculosis of lung
01174,Tuberculosis of lung
01175,Tuberculosis of lung
01176,Tuberculosis of lung
01180,Tuberculosis of lung
01181,Tuberculosis of lung
01182,Tuberculosis of lung
01183,Tuberculosis of lung
01184,Tuberculosis of lung
01185,Tuberculosis of lung
01186,Tuberculosis of lung
01190,Tuberculosis of lung
01191,Tuberculosis of lung
01192,Tuberculosis of lung
01193,Tuberculosis of lung
01194,Tuberculosis of lung
01195,Tuberculosis of lung
01196,Tuberculosis of lung
01200,Tuberculous pleurisy
01201,Tuberculous pleurisy
01202,Tuberculous pleurisy
01203,Tuberculous pleurisy
01204,Tuberculous pleurisy
01205,Tuberculous pleurisy
01206,Tuberculous pleurisy
01210,Tuberculosis of intrathoracic lymph nodes
01211,Tuberculosis of intrathoracic lymph nodes
01212,Tuberculosis of intrathoracic lymph nodes
01213,Tuberculosis of intrathoracic lymph nodes
01214,Tuberculosis of intrathoracic lymph nodes
01215,Tuberculosis of intrathoracic lymph nodes
01216,Tuberculosis of intrathoracic lymph nodes
01220,Tuberculosis of larynx
01221,Tuberculosis of larynx
01222,Tuberculosis of larynx
01223,Tuberculosis of larynx
01224,Tuberculosis of larynx
01225,Tuberculosis of larynx
01226,Tuberculosis of larynx
01230,Tuberculosis of larynx
01231,Tuberculosis of larynx
01232,Tuberculosis of larynx
01233,Tuberculosis of larynx
01234,Tuberculosis of larynx
01235,Tuberculosis of larynx
01236,Tuberculosis of larynx
01280,Other respiratory tuberculosis
01281,Other respiratory tuberculosis
01282,Other respiratory tuberculosis
01283,Other respiratory tuberculosis
01284,Other respiratory tuberculosis
01285,Other respiratory tuberculosis
01286,Other respiratory tuberculosis
01300,Tuberculous meningitis
01301,Tuberculous meningitis
01302,Tuberculous meningitis
01303,Tuberculous meningitis
01304,Tuberculous meningitis
01305,Tuberculous meningitis
01306,Tuberculous meningitis
01310,Meningeal tuberculoma
01311,Meningeal tuberculoma
01312,Meningeal tuberculoma
01313,Meningeal tuberculoma
01314,Meningeal tuberculoma
01315,Meningeal tuberculoma
01316,Meningeal tuberculoma
01320,Tuberculoma of brain and spinal cord
01321,Tuberculoma of brain and spinal cord
01322,Tuberculoma of brain and spinal cord
01323,Tuberculoma of brain and spinal cord
01324,Tuberculoma of brain and spinal cord
01325,Tuberculoma of brain and spinal cord
01326,Tuberculoma of brain and spinal cord
01330,Tuberculoma of brain and spinal cord
01331,Tuberculoma of brain and spinal cord
01332,Tuberculoma of brain and spinal cord
01333,Tuberculoma of brain and spinal cord
01334,Tuberculoma of brain and spinal cord
01335,Tuberculoma of brain and spinal cord
01336,Tuberculoma of brain and spinal cord
01340,Tuberculoma of brain and spinal cord
01341,Tuberculoma of brain and spinal cord
01342,Tuberculoma of brain and spinal cord
01343,Tuberculoma of brain and spinal cord
01344,Tuberculoma of brain and spinal cord
01345,Tuberculoma of brain and spinal cord
01346,Tuberculoma of brain and spinal cord
01350,Tuberculoma of brain and spinal cord
01351,Tuberculoma of brain and spinal cord
01352,Tuberculoma of brain and spinal cord
01353,Tuberculoma of brain and spinal cord
